Concurrency, Mean Power (W), Avg Latency (s), Throughput (Inference/sec), Energy (J)
1,3.29921,0.407203,2.38073,1.34344820963
2,3.32391,0.811492,2.42799,2.69732637372
3,3.25256,1.0487469999999999,2.72162,3.4111125423199993
4,3.27624,1.2829169999999999,2.99962,4.203143992079999
5,3.23707,1.5487769999999998,2.99925,5.01349956339
6,3.23291,1.800017,2.93275,5.81929295947
7,3.23565,2.061903,3.06193,6.67159644195
8,3.22002,2.317687,2.99944,7.462998493739999
9,3.2207500000000002,2.571781,3.26601,8.28306365575
10,3.22826,2.8277129999999997,2.9994,9.128592769379999
11,3.24512,3.116619,2.85673,10.11380264928
12,3.257,3.403361,2.85653,11.084746777
13,3.26234,3.678814,2.85633,12.00154206476
