Throughput (Inference/sec),Energy (J),Latency (s),Label,Frequency,Directory
29.631,0.59740791174,0.027193,1,1377000000,AGX
37.7878,1.2291397010999998,0.045878999999999996,2,1377000000,AGX
45.6143,1.5367561559999998,0.058117999999999996,3,1377000000,AGX
50.2283,1.8294162212,0.070253,4,1377000000,AGX
53.1828,2.0813888862,0.078723,5,1377000000,AGX
56.8208,2.4226974448000003,0.090491,6,1377000000,AGX
59.7129,2.7075580484999997,0.10070699999999999,7,1377000000,AGX
61.1652,3.14110475978,0.113983,8,1377000000,AGX
65.1817,3.4190876606699994,0.12437699999999999,9,1377000000,AGX
65.1861,3.648537403,0.132986,10,1377000000,AGX
66.6151,3.9868907163600005,0.144321,11,1377000000,AGX
68.7998,4.27088258406,0.150561,12,1377000000,AGX
72.4862,4.58051909933,0.159569,13,1377000000,AGX
73.8177,5.515569470249999,0.19422899999999998,16,1377000000,AGX
75.4826,5.63782012941,0.19578299999999998,17,1377000000,AGX
77.1423,6.1548715815,0.21493099999999998,18,1377000000,AGX
77.8045,6.41390148657,0.223911,19,1377000000,AGX
79.4901,6.7130057574999995,0.23313499999999998,20,1377000000,AGX
80.1259,7.31387134267,0.253291,22,1377000000,AGX
86.1103,7.356927619879999,0.251918,23,1377000000,AGX
87.109,8.764279399999998,0.29489499999999996,27,1377000000,AGX
87.7619,8.880241279,0.301654,28,1377000000,AGX
88.1037,11.42037568136,0.374996,39,1377000000,AGX
89.4341,13.45429175384,0.440104,43,1377000000,AGX
95.7624,13.6043138445,0.454458,44,1377000000,AGX
96.7541,13.9260861269,0.46374499999999996,47,1377000000,AGX
99.0773,21.14622924394,0.680473,66,1377000000,AGX
99.5663,27.830195849429995,0.8814909999999999,97,1377000000,AGX
100.4,29.490135568,0.93712,99,1377000000,AGX
104.071,29.44728386604,0.9433889999999999,102,1377000000,AGX
105.412,30.357859696149998,0.9712149999999999,103,1377000000,AGX
28.9636,0.5778127095000001,0.027705,1,1338750000,AGX
36.9543,1.2056843393,0.047077,2,1338750000,AGX
44.7792,1.488696576,0.059188,3,1338750000,AGX
50.0676,1.72391255672,0.06887599999999999,4,1338750000,AGX
60.493,2.7561235825400003,0.104534,7,1338750000,AGX
63.4946,3.2661402775,0.123875,9,1338750000,AGX
66.4894,3.8995327575,0.147062,11,1338750000,AGX
69.8328,4.08830228406,0.153079,12,1338750000,AGX
70.175,4.4518298715,0.166394,13,1338750000,AGX
87.7778,10.0911192502,0.349385,32,1338750000,AGX
91.1072,13.303513330249999,0.459983,44,1338750000,AGX
94.4349,13.48087520352,0.460347,45,1338750000,AGX
96.4178,13.524361045,0.47776599999999997,46,1338750000,AGX
97.0841,13.826484342,0.475431,47,1338750000,AGX
98.7164,14.368701312839999,0.490849,48,1338750000,AGX
103.571,28.80835916928,0.968896,101,1338750000,AGX
104.077,29.135605677359997,0.964236,102,1338750000,AGX
27.4658,0.5577035437200001,0.029377,1,1236750000,AGX
34.7926,1.137002286,0.050086,2,1236750000,AGX
42.4452,1.36924581499,0.060673,3,1236750000,AGX
90.7533,12.43833033136,0.473776,44,1236750000,AGX
99.4011,26.0424048111,0.9753179999999999,98,1236750000,AGX
100.42,26.9825768631,1.0125899999999999,100,1236750000,AGX
103.589,27.130446849999995,1.0216699999999999,101,1236750000,AGX
33.9571,1.12764546241,0.051607,2,1198500000,AGX
45.9339,1.6997982474000002,0.078045,4,1198500000,AGX
88.7127,11.88763301325,0.479877,43,1198500000,AGX
90.4198,12.03456486826,0.484606,44,1198500000,AGX
90.7734,12.29526333525,0.495093,46,1198500000,AGX
24.5339,0.54187888876,0.033812,1,1032750000,AGX
29.9633,1.08354703192,0.059222,2,1032750000,AGX
21.3092,0.44587636080000004,0.03777,1,1109250000,NX
30.9544,1.12741181615,0.08201499999999999,3,1109250000,NX
20.8644,0.4285670155,0.038869999999999995,1,1058250000,NX
19.7586,0.41863822619999996,0.041628,1,956250000,NX
18.8648,0.40352958446000003,0.043607,1,905250000,NX
