Avg Latency (s),Energy (J),Z,Label,Frequency
0.03777,0.44587636080000004,21.3092,1,1109250000
0.06559,0.8906059441999999,26.6284,2,1109250000
0.08201499999999999,1.12741181615,30.9544,3,1109250000
0.10352199999999999,1.4373957234599999,34.4573,4,1109250000
0.12350799999999999,1.73854924628,35.9399,5,1109250000
0.144573,2.0709952134300003,37.774,6,1109250000
0.161376,2.314414248,39.0955,7,1109250000
0.17818,2.4662998516,41.1012,8,1109250000
0.212144,3.0296517998400003,41.5984,10,1109250000
0.215217,3.1451618684700002,44.6499,11,1109250000
0.242668,3.57317952608,45.771,12,1109250000
0.28911899999999996,4.28962101753,46.0894,14,1109250000
0.328326,4.826924088120001,46.6052,16,1109250000
0.336686,4.83296592072,47.0885,17,1109250000
0.038869999999999995,0.4285670155,20.8644,1,1058250000
0.067713,0.8585534409,25.7923,2,1058250000
0.13075,1.7364031475000001,34.5865,5,1058250000
0.16356099999999998,2.2099675363799998,38.2679,7,1058250000
0.21745099999999998,2.9293759249299995,41.4436,10,1058250000
0.09121399999999999,1.0800339612399998,29.1246,3,1007250000
0.114413,1.4146881417500001,31.2967,4,1007250000
0.18828799999999998,1.9959544755199998,37.6076,8,1007250000
0.041628,0.41863822619999996,19.7586,1,956250000
0.117463,1.39245456183,30.9645,4,956250000
0.043607,0.40352958446000003,18.8648,1,905250000
0.08087799999999999,0.8322427078,21.9782,2,854250000
