aggregation_group;num_requests;num_frames;mean_excess_latency_s;mean_percent_excess;total_energy_j;requests_per_joule;frames_per_joule;max_temperature_c;mean_temperature_c;min_temperature_c;max_gpu_freq_mhz;avg_gpu_freq_mhz;min_gpu_freq_mhz;num_time_out;percent_time_out;percent_requests_within_constraint;percent_frames_within_constraint;percent_completed_frames_within_constraint
loud_pred (T-40);11702;11702;0,5462;4,2349;24527,6306;0,4771;0,4771;47,5000;35,4759;20,5000;1032;350,0359;76;0;0,0000;91,5570;91,5570;91,5570
loud_pred (T-50);12641;12641;0,8136;8,9498;28876,0564;0,4378;0,4378;47,0000;35,6323;20,5000;1032;322,4121;76;0;0,0000;86,0612;86,0612;86,0612
loud_pred (T-60);12473;12473;2,5917;20,6269;26939,7112;0,4630;0,4630;47,5000;35,4217;20,0000;1032;336,8436;76;0;0,0000;77,3992;77,3992;77,3992
loud_pred (T-70);10431;10431;0,4169;6,0369;26769,5342;0,3897;0,3897;47,5000;34,6767;19,0000;1032;323,2745;76;0;0,0000;91,9663;91,9663;91,9663
loud_pred (T-80);14970;14970;15,8447;101,2201;33480,2156;0,4471;0,4471;47,5000;35,8371;19,5000;1032;344,2990;76;0;0,0000;67,8156;67,8156;67,8156
loud_prof (T-40);11702;11702;0,5836;4,8225;25430,2338;0,4602;0,4602;49,5000;35,6782;21,0000;1377;355,3700;76;0;0,0000;90,2923;90,2923;90,2923
loud_prof (T-50);12641;12641;0,8115;8,6274;29314,7768;0,4312;0,4312;48,5000;35,4222;20,0000;1377;323,1796;76;0;0,0000;85,3413;85,3413;85,3413
loud_prof (T-60);12473;12473;5,2663;32,4807;27309,9494;0,4567;0,4567;47,5000;35,9148;20,5000;1377;406,9485;76;0;0,0000;73,8876;73,8876;73,8876
loud_prof (T-70);10431;10431;0,6530;8,4663;26791,2716;0,3893;0,3893;47,5000;34,5626;19,5000;1058;326,9655;76;0;0,0000;92,3497;92,3497;92,3497
loud_prof (T-80);14970;14970;23,7053;148,2022;35064,1484;0,4269;0,4269;47,0000;36,2983;20,0000;1377;318,9881;76;0;0,0000;66,5464;66,5464;66,5464
